Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,rushing_yds,rushing_tds,rushing_twoptm,rushing_yds_FF_pts,rushing_tds_FF_pts,rushing_twoptm_FF_pts,total_FF_pts
55856,BUF,CAR,Sun,9,15,2013,2,C.Spiller,BUF,True,103,0,0,10.0,0.0,0.0,10.0
55856,BUF,CAR,Sun,9,15,2013,2,R.Woods,BUF,True,3,0,0,0.0,0.0,0.0,0.0
55856,BUF,CAR,Sun,9,15,2013,2,F.Jackson,BUF,True,30,1,0,3.0,6.0,0.0,9.0
55856,BUF,CAR,Sun,9,15,2013,2,C.Newton,CAR,False,15,0,0,1.0,0.0,0.0,1.0
55856,BUF,CAR,Sun,9,15,2013,2,M.Tolbert,CAR,False,25,0,0,2.0,0.0,0.0,2.0
55856,BUF,CAR,Sun,9,15,2013,2,De.Williams,CAR,False,85,0,0,8.0,0.0,0.0,8.0
55857,CHI,MIN,Sun,9,15,2013,2,J.Cutler,CHI,True,9,0,0,0.0,0.0,0.0,0.0
55857,CHI,MIN,Sun,9,15,2013,2,A.Jeffery,CHI,True,30,0,0,3.0,0.0,0.0,3.0
55857,CHI,MIN,Sun,9,15,2013,2,M.Forte,CHI,True,90,0,0,9.0,0.0,0.0,9.0
55857,CHI,MIN,Sun,9,15,2013,2,M.Bush,CHI,True,0,0,0,0.0,0.0,0.0,0.0
55857,CHI,MIN,Sun,9,15,2013,2,C.Ponder,MIN,False,18,0,0,1.0,0.0,0.0,1.0
55857,CHI,MIN,Sun,9,15,2013,2,T.Gerhart,MIN,False,5,0,0,0.0,0.0,0.0,0.0
55857,CHI,MIN,Sun,9,15,2013,2,A.Peterson,MIN,False,100,0,0,10.0,0.0,0.0,10.0
55858,GB,WAS,Sun,9,15,2013,2,A.Rodgers,GB,True,-3,0,0,-1.0,0.0,0.0,-1.0
55858,GB,WAS,Sun,9,15,2013,2,E.Lacy,GB,True,10,0,0,1.0,0.0,0.0,1.0
55858,GB,WAS,Sun,9,15,2013,2,J.Starks,GB,True,132,1,0,13.0,6.0,0.0,19.0
