Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,receiving_rec,receiving_yds,receiving_tds,receiving_twoptm,receiving_rec_FF_pts,receiving_yds_FF_pts,receiving_tds_FF_pts,receiving_twoptm_FF_pts,total_FF_pts
55848,STL,ARI,Sun,9,8,2013,1,R.Mendenhall,ARI,False,1,4,0,0,0.0,1.0,0.0,0.0,1.0
55848,STL,ARI,Sun,9,8,2013,1,J.Dray,ARI,False,2,21,0,0,2.0,2.0,0.0,0.0,4.0
55848,STL,ARI,Sun,9,8,2013,1,A.Ellington,ARI,False,1,13,0,0,1.0,1.0,0.0,0.0,2.0
55848,STL,ARI,Sun,9,8,2013,1,J.Brown,ARI,False,1,14,0,0,1.0,1.0,0.0,0.0,2.0
55848,STL,ARI,Sun,9,8,2013,1,K.Sperry,ARI,False,1,16,0,0,1.0,1.0,0.0,0.0,2.0
55848,STL,ARI,Sun,9,8,2013,1,M.Floyd,ARI,False,4,82,0,0,8.0,4.0,0.0,0.0,12.0
55848,STL,ARI,Sun,9,8,2013,1,A.Roberts,ARI,False,8,97,0,0,9.0,8.0,0.0,0.0,17.0
55848,STL,ARI,Sun,9,8,2013,1,L.Fitzgerald,ARI,False,8,80,2,0,8.0,8.0,12.0,0.0,28.0
55849,SF,GB,Sun,9,8,2013,1,F.Gore,SF,True,2,21,0,0,2.0,2.0,0.0,0.0,4.0
55849,SF,GB,Sun,9,8,2013,1,A.Boldin,SF,True,13,208,1,0,20.0,13.0,6.0,0.0,39.0
55849,SF,GB,Sun,9,8,2013,1,V.Davis,SF,True,6,98,2,0,9.0,6.0,12.0,0.0,27.0
55849,SF,GB,Sun,9,8,2013,1,B.Miller,SF,True,2,24,0,0,2.0,2.0,0.0,0.0,4.0
55849,SF,GB,Sun,9,8,2013,1,K.Williams,SF,True,3,36,0,0,3.0,3.0,0.0,0.0,6.0
55849,SF,GB,Sun,9,8,2013,1,V.McDonald,SF,True,1,25,0,0,2.0,1.0,0.0,0.0,3.0
55849,SF,GB,Sun,9,8,2013,1,R.Cobb,GB,False,7,108,1,0,10.0,7.0,6.0,0.0,23.0
55849,SF,GB,Sun,9,8,2013,1,E.Lacy,GB,False,1,31,0,0,3.0,1.0,0.0,0.0,4.0
55849,SF,GB,Sun,9,8,2013,1,J.Starks,GB,False,1,8,0,0,0.0,1.0,0.0,0.0,1.0
55849,SF,GB,Sun,9,8,2013,1,J.Finley,GB,False,5,56,1,0,5.0,5.0,6.0,0.0,16.0
55849,SF,GB,Sun,9,8,2013,1,J.Nelson,GB,False,7,130,1,0,13.0,7.0,6.0,0.0,26.0
55850,DAL,NYG,Sun,9,8,2013,1,P.Tanner,DAL,True,1,9,0,0,0.0,1.0,0.0,0.0,1.0
55850,DAL,NYG,Sun,9,8,2013,1,D.Murray,DAL,True,8,39,0,0,3.0,8.0,0.0,0.0,11.0
55850,DAL,NYG,Sun,9,8,2013,1,D.Harris,DAL,True,2,12,0,0,1.0,2.0,0.0,0.0,3.0
55850,DAL,NYG,Sun,9,8,2013,1,M.Austin,DAL,True,10,72,0,0,7.0,10.0,0.0,0.0,17.0
55850,DAL,NYG,Sun,9,8,2013,1,G.Escobar,DAL,True,1,7,0,0,0.0,1.0,0.0,0.0,1.0
55850,DAL,NYG,Sun,9,8,2013,1,J.Witten,DAL,True,8,70,2,0,7.0,8.0,12.0,0.0,27.0
55850,DAL,NYG,Sun,9,8,2013,1,D.Bryant,DAL,True,4,22,0,0,2.0,4.0,0.0,0.0,6.0
55850,DAL,NYG,Sun,9,8,2013,1,T.Williams,DAL,True,2,32,0,0,3.0,2.0,0.0,0.0,5.0
55850,DAL,NYG,Sun,9,8,2013,1,D.Scott,NYG,False,5,51,0,0,5.0,5.0,0.0,0.0,10.0
55850,DAL,NYG,Sun,9,8,2013,1,R.Randle,NYG,False,5,101,0,0,10.0,5.0,0.0,0.0,15.0
55850,DAL,NYG,Sun,9,8,2013,1,V.Cruz,NYG,False,5,118,3,0,11.0,5.0,18.0,0.0,34.0
55850,DAL,NYG,Sun,9,8,2013,1,H.Nicks,NYG,False,5,114,0,0,11.0,5.0,0.0,0.0,16.0
55850,DAL,NYG,Sun,9,8,2013,1,B.Myers,NYG,False,7,66,1,0,6.0,7.0,6.0,0.0,19.0
55851,WAS,PHI,Mon,9,9,2013,1,R.Helu,WAS,True,1,11,0,0,1.0,1.0,0.0,0.0,2.0
55851,WAS,PHI,Mon,9,9,2013,1,A.Morris,WAS,True,1,9,0,0,0.0,1.0,0.0,0.0,1.0
55851,WAS,PHI,Mon,9,9,2013,1,S.Moss,WAS,True,5,54,0,0,5.0,5.0,0.0,0.0,10.0
55851,WAS,PHI,Mon,9,9,2013,1,P.Garcon,WAS,True,7,64,0,0,6.0,7.0,0.0,0.0,13.0
55851,WAS,PHI,Mon,9,9,2013,1,F.Davis,WAS,True,2,22,0,0,2.0,2.0,0.0,0.0,4.0
55851,WAS,PHI,Mon,9,9,2013,1,J.Morgan,WAS,True,4,51,0,0,5.0,4.0,0.0,0.0,9.0
55851,WAS,PHI,Mon,9,9,2013,1,J.Reed,WAS,True,5,38,0,0,3.0,5.0,0.0,0.0,8.0
55851,WAS,PHI,Mon,9,9,2013,1,L.Hankerson,WAS,True,5,80,2,0,8.0,5.0,12.0,0.0,25.0
55851,WAS,PHI,Mon,9,9,2013,1,L.McCoy,PHI,False,1,5,0,0,0.0,1.0,0.0,0.0,1.0
55851,WAS,PHI,Mon,9,9,2013,1,B.Celek,PHI,False,2,56,1,0,5.0,2.0,6.0,0.0,13.0
55851,WAS,PHI,Mon,9,9,2013,1,D.Jackson,PHI,False,7,104,1,0,10.0,7.0,6.0,0.0,23.0
55851,WAS,PHI,Mon,9,9,2013,1,Z.Ertz,PHI,False,1,11,0,0,1.0,1.0,0.0,0.0,2.0
55851,WAS,PHI,Mon,9,9,2013,1,R.Cooper,PHI,False,2,14,0,0,1.0,2.0,0.0,0.0,3.0
55851,WAS,PHI,Mon,9,9,2013,1,J.Avant,PHI,False,2,13,0,0,1.0,2.0,0.0,0.0,3.0
55852,SD,HOU,Mon,9,9,2013,1,R.Brown,SD,True,2,24,0,0,2.0,2.0,0.0,0.0,4.0
55852,SD,HOU,Mon,9,9,2013,1,R.Mathews,SD,True,2,22,1,0,2.0,2.0,6.0,0.0,10.0
55852,SD,HOU,Mon,9,9,2013,1,E.Royal,SD,True,3,24,2,0,2.0,3.0,12.0,0.0,17.0
