Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,fumbles_rec,fumbles_yds,fumbles_rec_tds,fumbles_lost,fumble_lost_FF_pts,fumble_tds_FF_pts,total_FF_pts
55873,DAL,STL,Sun,9,22,2013,3,S.Lee,DAL,True,0,10,0,0,0.0,0.0,0.0
55873,DAL,STL,Sun,9,22,2013,3,C.Givens,STL,False,0,0,0,1,-2.0,0.0,-2.0
55873,DAL,STL,Sun,9,22,2013,3,W.Witherspoon,STL,False,0,0,0,0,0.0,0.0,0.0
55879,MIA,ATL,Sun,9,22,2013,3,R.Tannehill,MIA,True,0,0,0,1,-2.0,0.0,-2.0
55879,MIA,ATL,Sun,9,22,2013,3,J.Denney,MIA,True,0,0,0,0,0.0,0.0,0.0
55879,MIA,ATL,Sun,9,22,2013,3,H.Douglas,ATL,False,0,0,0,1,-2.0,0.0,-2.0
55879,MIA,ATL,Sun,9,22,2013,3,P.Jerry,ATL,False,0,0,0,0,0.0,0.0,0.0
55874,MIN,CLE,Sun,9,22,2013,3,C.Ponder,MIN,True,0,0,0,1,-2.0,0.0,-2.0
55874,MIN,CLE,Sun,9,22,2013,3,A.Peterson,MIN,True,0,0,0,1,-2.0,0.0,-2.0
55874,MIN,CLE,Sun,9,22,2013,3,L.Dean,MIN,True,0,0,0,0,0.0,0.0,0.0
55874,MIN,CLE,Sun,9,22,2013,3,M.Sherels,MIN,True,0,0,0,0,0.0,0.0,0.0
55874,MIN,CLE,Sun,9,22,2013,3,T.Benjamin,CLE,False,0,0,0,1,-2.0,0.0,-2.0
55874,MIN,CLE,Sun,9,22,2013,3,C.Robertson,CLE,False,0,7,0,0,0.0,0.0,0.0
55874,MIN,CLE,Sun,9,22,2013,3,J.Sheard,CLE,False,0,0,0,0,0.0,0.0,0.0
55880,NYJ,BUF,Sun,9,22,2013,3,B.Powell,NYJ,True,0,0,0,0,0.0,0.0,0.0
55880,NYJ,BUF,Sun,9,22,2013,3,N.Mangold,NYJ,True,0,-21,0,0,0.0,0.0,0.0
55880,NYJ,BUF,Sun,9,22,2013,3,C.Spiller,BUF,False,0,0,0,0,0.0,0.0,0.0
55876,NO,ARI,Sun,9,22,2013,3,P.Peterson,ARI,False,0,0,0,0,0.0,0.0,0.0
55876,NO,ARI,Sun,9,22,2013,3,S.Acho,ARI,False,0,0,0,0,0.0,0.0,0.0
55877,TEN,SD,Sun,9,22,2013,3,J.Locker,TEN,True,0,0,0,0,0.0,0.0,0.0
55877,TEN,SD,Sun,9,22,2013,3,B.Kern,TEN,True,0,-16,0,0,0.0,0.0,0.0
55877,TEN,SD,Sun,9,22,2013,3,A.Verner,TEN,True,0,0,0,0,0.0,0.0,0.0
55877,TEN,SD,Sun,9,22,2013,3,C.Warmack,TEN,True,0,0,0,0,0.0,0.0,0.0
55877,TEN,SD,Sun,9,22,2013,3,D.Woodhead,SD,False,0,0,0,1,-2.0,0.0,-2.0
55878,WAS,DET,Sun,9,22,2013,3,R.Griffin,WAS,True,0,-10,0,1,-2.0,0.0,-2.0
55878,WAS,DET,Sun,9,22,2013,3,G.Quin,DET,False,0,0,0,0,0.0,0.0,0.0
55872,CAR,NYG,Sun,9,22,2013,3,R.Brockel,CAR,True,0,0,0,1,-2.0,0.0,-2.0
55872,CAR,NYG,Sun,9,22,2013,3,R.Lester,CAR,True,0,0,0,0,0.0,0.0,0.0
55872,CAR,NYG,Sun,9,22,2013,3,L.Murphy,NYG,False,0,0,0,1,-2.0,0.0,-2.0
55872,CAR,NYG,Sun,9,22,2013,3,L.Donnell,NYG,False,0,0,0,0,0.0,0.0,0.0
55881,SF,IND,Sun,9,22,2013,3,C.Kaepernick,SF,True,0,0,0,1,-2.0,0.0,-2.0
55881,SF,IND,Sun,9,22,2013,3,K.Conner,IND,False,0,0,0,0,0.0,0.0,0.0
55882,SEA,JAC,Sun,9,22,2013,3,R.Wilson,SEA,True,0,0,0,1,-2.0,0.0,-2.0
55882,SEA,JAC,Sun,9,22,2013,3,B.Mebane,SEA,True,0,0,0,0,0.0,0.0,0.0
55882,SEA,JAC,Sun,9,22,2013,3,C.Henne,JAC,False,0,-1,0,0,0.0,0.0,0.0
55882,SEA,JAC,Sun,9,22,2013,3,D.Robinson,JAC,False,0,0,0,1,-2.0,0.0,-2.0
55882,SEA,JAC,Sun,9,22,2013,3,B.Deaderick,JAC,False,0,0,0,0,0.0,0.0,0.0
55883,PIT,CHI,Sun,9,22,2013,3,B.Roethlisberger,PIT,True,0,0,0,2,-4.0,0.0,-4.0
55883,PIT,CHI,Sun,9,22,2013,3,F.Jones,PIT,True,0,0,0,1,-2.0,0.0,-2.0
55883,PIT,CHI,Sun,9,22,2013,3,A.Jeffery,CHI,False,0,0,0,0,0.0,0.0,0.0
55883,PIT,CHI,Sun,9,22,2013,3,Ja.Anderson,CHI,False,0,0,0,0,0.0,0.0,0.0
55883,PIT,CHI,Sun,9,22,2013,3,H.Melton,CHI,False,0,-1,0,0,0.0,0.0,0.0
55883,PIT,CHI,Sun,9,22,2013,3,J.Peppers,CHI,False,0,42,0,0,0.0,0.0,0.0
55884,DEN,OAK,Mon,9,23,2013,3,P.Manning,DEN,True,0,-2,0,1,-2.0,0.0,-2.0
55884,DEN,OAK,Mon,9,23,2013,3,M.Ball,DEN,True,0,0,0,1,-2.0,0.0,-2.0
55884,DEN,OAK,Mon,9,23,2013,3,T.Pryor,OAK,False,0,0,0,0,0.0,0.0,0.0
55884,DEN,OAK,Mon,9,23,2013,3,M.Jenkins,OAK,False,0,13,0,0,0.0,0.0,0.0
55884,DEN,OAK,Mon,9,23,2013,3,S.Wisniewski,OAK,False,0,0,0,0,0.0,0.0,0.0
55884,DEN,OAK,Mon,9,23,2013,3,J.Hunter,OAK,False,0,15,0,0,0.0,0.0,0.0
55885,STL,SF,Thu,9,26,2013,4,S.Bradford,STL,True,0,0,0,1,-2.0,0.0,-2.0
55885,STL,SF,Thu,9,26,2013,4,T.Austin,STL,True,0,0,0,0,0.0,0.0,0.0
55885,STL,SF,Thu,9,26,2013,4,R.Armstrong,STL,True,0,0,0,0,0.0,0.0,0.0
55885,STL,SF,Thu,9,26,2013,4,R.McLeod,STL,True,0,0,0,0,0.0,0.0,0.0
55885,STL,SF,Thu,9,26,2013,4,C.Kaepernick,SF,False,0,-1,0,1,-2.0,0.0,-2.0
55885,STL,SF,Thu,9,26,2013,4,F.Gore,SF,False,0,0,0,1,-2.0,0.0,-2.0
55885,STL,SF,Thu,9,26,2013,4,T.Jerod-Eddie,SF,False,0,0,0,0,0.0,0.0,0.0
