Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,passing_att,passing_incmp,passing_cmp,passing_tds,passing_int,passing_yds,passing_twoptm,passing_yds_FF_pts,passing_tds_FF_pts,passing_twopt_FF_pts,intercept_FF_pts,total_FF_pts
55898,ATL,NE,Sun,9,29,2013,4,T.Brady,NE,False,31,0,20,2,0,316,0,12.0,8.0,0.0,0.0,20.0
55899,NO,MIA,Mon,9,30,2013,4,D.Brees,NO,True,39,0,30,4,0,413,0,16.0,16.0,0.0,0.0,32.0
55899,NO,MIA,Mon,9,30,2013,4,R.Tannehill,MIA,False,35,0,22,1,3,249,0,9.0,4.0,0.0,-3.0,10.0
55900,CLE,BUF,Thu,10,3,2013,5,B.Hoyer,CLE,True,4,0,2,0,0,25,0,1.0,0.0,0.0,0.0,1.0
55900,CLE,BUF,Thu,10,3,2013,5,B.Weeden,CLE,True,24,0,13,1,0,197,0,7.0,4.0,0.0,0.0,11.0
55900,CLE,BUF,Thu,10,3,2013,5,J.Tuel,BUF,False,20,0,8,0,1,80,0,3.0,0.0,0.0,-1.0,2.0
55900,CLE,BUF,Thu,10,3,2013,5,E.Manuel,BUF,False,20,0,11,0,0,129,0,5.0,0.0,0.0,0.0,5.0
55901,CHI,NO,Sun,10,6,2013,5,J.Cutler,CHI,True,33,0,24,2,0,358,0,14.0,8.0,0.0,0.0,22.0
55901,CHI,NO,Sun,10,6,2013,5,D.Brees,NO,False,35,0,29,2,0,288,0,11.0,8.0,0.0,0.0,19.0
55902,CIN,NE,Sun,10,6,2013,5,A.Dalton,CIN,True,27,0,20,0,1,212,0,8.0,0.0,0.0,-1.0,7.0
55902,CIN,NE,Sun,10,6,2013,5,T.Brady,NE,False,38,0,18,0,1,197,0,7.0,0.0,0.0,-1.0,6.0
55903,GB,DET,Sun,10,6,2013,5,A.Rodgers,GB,True,30,0,20,1,0,274,0,10.0,4.0,0.0,0.0,14.0
55903,GB,DET,Sun,10,6,2013,5,M.Stafford,DET,False,40,0,25,1,0,262,0,10.0,4.0,0.0,0.0,14.0
55904,IND,SEA,Sun,10,6,2013,5,A.Luck,IND,True,29,0,16,2,0,229,1,9.0,8.0,2.0,0.0,19.0
55904,IND,SEA,Sun,10,6,2013,5,R.Wilson,SEA,False,31,0,15,2,1,210,0,8.0,8.0,0.0,-1.0,15.0
55905,MIA,BAL,Sun,10,6,2013,5,R.Tannehill,MIA,True,40,0,21,1,0,307,0,12.0,4.0,0.0,0.0,16.0
55905,MIA,BAL,Sun,10,6,2013,5,J.Flacco,BAL,False,32,0,19,0,1,269,0,10.0,0.0,0.0,-1.0,9.0
55906,NYG,PHI,Sun,10,6,2013,5,E.Manning,NYG,True,52,0,24,2,3,334,0,13.0,8.0,0.0,-3.0,18.0
55906,NYG,PHI,Sun,10,6,2013,5,M.Vick,PHI,False,14,0,6,0,0,105,0,4.0,0.0,0.0,0.0,4.0
55906,NYG,PHI,Sun,10,6,2013,5,N.Foles,PHI,False,25,0,16,2,0,197,0,7.0,8.0,0.0,0.0,15.0
55907,STL,JAC,Sun,10,6,2013,5,S.Bradford,STL,True,34,0,19,3,0,222,0,8.0,12.0,0.0,0.0,20.0
55907,STL,JAC,Sun,10,6,2013,5,C.Henne,JAC,False,13,0,7,1,0,89,0,3.0,4.0,0.0,0.0,7.0
55907,STL,JAC,Sun,10,6,2013,5,B.Gabbert,JAC,False,19,0,9,1,2,181,0,7.0,4.0,0.0,-2.0,9.0
